TMPA1,Tue Jul 01 15:00:00 PDT 2003,41.0975,-123.63583,3.13,270
BMEC1,Tue Jul 01 15:02:00 PDT 2003,37.82333,-120.0975,3.13,220
CMNC1,Tue Jul 01 15:03:00 PDT 2003,32.72139,-116.46306,3.58,270
CVBC1,Tue Jul 01 15:03:00 PDT 2003,37.46806,-120.11056,4.02,210
CTOC1,Tue Jul 01 15:02:00 PDT 2003,36.99111,-121.79778,1.34,160
DBLC1,Tue Jul 01 15:00:00 PDT 2003,37.32917,-121.29389,4.92,30
EPKC1,Tue Jul 01 15:00:00 PDT 2003,39.92778,-122.65694,5.36,130
ESPC1,Tue Jul 01 15:02:00 PDT 2003,38.24306,-120.51444,1.34,280
FNWC1,Tue Jul 01 15:01:00 PDT 2003,36.96139,-119.175,2.68,260
FHCC1,Tue Jul 01 15:01:00 PDT 2003,32.99028,-116.06695,4.47,70
GNSC1,Tue Jul 01 15:03:00 PDT 2003,37.83306,-120.5,2.68,220
HKSC1,Tue Jul 01 15:02:00 PDT 2003,34.31139,-117.80945,2.68,100
LAHC1,Tue Jul 01 15:01:00 PDT 2003,37.30528,-122.25389,1.79,190
LMOC1,Tue Jul 01 15:00:00 PDT 2003,37.71194,-121.81361,6.71,270
LTHC1,Tue Jul 01 15:01:00 PDT 2003,34.01778,-116.18777,2.68,40
TMPC4,Tue Jul 01 15:03:00 PDT 2003,40.68945,-122.83139,2.68,100
MDDC1,Tue Jul 01 15:00:00 PDT 2003,40.46333,-123.52389,1.79,180
MPOC1,Tue Jul 01 15:03:00 PDT 2003,37.50111,-119.985,2.24,210
MOUC1,Tue Jul 01 15:02:00 PDT 2003,38.06306,-120.24695,4.47,240
MMTC1,Tue Jul 01 15:02:00 PDT 2003,37.37611,-119.17834,8.49,230
MTQC1,Tue Jul 01 15:01:00 PDT 2003,37.05416,-119.37111,1.79,200
MLGC1,Tue Jul 01 15:03:00 PDT 2003,32.87972,-116.42028,2.24,140
INTC1,Tue Jul 01 15:01:00 PDT 2003,36.12028,-117.08778,3.13,270
