AS176,WA6MEM Palos Verdes               CA US,Wed Sep 02 15:04:27 PDT 2009,0.45,240,,
AS187,DL6KL Koeln                          DE,Wed Sep 02 15:02:11 PDT 2009,0.89,62,,
AS189,N7DRK-4 Rice                      WA US,Wed Sep 02 15:04:00 PDT 2009,0,180,,
AS191,PACCTY Pacific City               OR US,Wed Sep 02 15:02:13 PDT 2009,1.34,247,,
AS192,WH6KO St Helens                   OR US,Wed Sep 02 15:00:03 PDT 2009,0.45,91,,
AS193,SM7GXQ Farjestaden                   SE,Wed Sep 02 15:00:24 PDT 2009,0,180,,
AS204,DB0WXR Recklinghausen                DE,Wed Sep 02 15:04:25 PDT 2009,2.24,143,,
AS208,N5IHE Deming                      NM US,Wed Sep 02 15:00:46 PDT 2009,2.68,164,,
AS223,NM6G Mariposa                     CA US,Wed Sep 02 15:00:19 PDT 2009,0.45,198,,
AS224,AD6WX Mill Valley                 CA US,Wed Sep 02 15:00:51 PDT 2009,3.13,275,,
AS228,SM4WDQ Hagfors                       SE,Wed Sep 02 15:00:16 PDT 2009,0.45,203,,
AS234,WA7EBH-15 Port Angeles            WA US,Wed Sep 02 15:04:14 PDT 2009,3.58,298,,
AS240,VE7KNL Salmo                      BC CA,Wed Sep 02 15:00:41 PDT 2009,0,68,,
AS268,K7BUC Clarkdale                   AZ US,Wed Sep 02 15:00:39 PDT 2009,5.81,53,,
AS275,N7NEI-4 Edmonds                   WA US,Wed Sep 02 15:01:03 PDT 2009,1.34,286,,
AS303,K6TZ-11 La Cumbre Peak            CA US,Wed Sep 02 15:03:56 PDT 2009,3.58,211,,
AS315,I3VZB-3 Verona                       IT,Wed Sep 02 15:04:08 PDT 2009,0,52,,
AS319,K2NWS-1 Salt Lake City            UT US,Wed Sep 02 15:04:38 PDT 2009,1.79,156,,
AS320,N1CBS Los Angeles                 CA US,Wed Sep 02 15:03:56 PDT 2009,3.13,260,,
AS322,IW1PPB-3 Loano                       IT,Wed Sep 02 15:04:06 PDT 2009,2.68,202,,
AS325,N6TTO Woodside                    CA US,Wed Sep 02 15:00:23 PDT 2009,0.89,125,,
AS346,DD4OS Lentfoehrden                   DE,Wed Sep 02 15:02:43 PDT 2009,0,111,,
AS352,DL2IAN Rohrbach                      DE,Wed Sep 02 15:04:53 PDT 2009,0,179,,
AS353,EA1QW Gijon                          ES,Wed Sep 02 15:04:29 PDT 2009,0,140,,
AS363,KC7DT Thatcher                    AZ US,Wed Sep 02 15:00:10 PDT 2009,2.24,252,,
AS368,DL3DCW Ennepetal                     DE,Wed Sep 02 15:03:39 PDT 2009,3.13,190,,
AS373,HB9AS-8 La Berneuse                  CH,Wed Sep 02 15:00:05 PDT 2009,2.24,225,,
AS375,I5NOD Altopascio Lu                  IT,Wed Sep 02 15:04:25 PDT 2009,0,357,,
AS377,IK2JYT-3 Bulgarograsso               IT,Wed Sep 02 15:00:29 PDT 2009,0,5,,
AS390,JA8DKJ Ishikari City                 JP,Wed Sep 02 15:04:36 PDT 2009,3.13,166,,
AS399,N7TGB Sun Valley                  NV US,Wed Sep 02 15:03:04 PDT 2009,3.13,252,,
AS400,EI4HQ Cork                           IE,Wed Sep 02 15:04:33 PDT 2009,1.79,310,,
AS410,SR3WXA Poznan                        PL,Wed Sep 02 15:05:06 PDT 2009,0.89,157,,
AS411,SQ5DCP-1 Radom                       PL,Wed Sep 02 15:03:36 PDT 2009,0,0,,
AS418,WD6FGE Burney                     CA US,Wed Sep 02 15:03:07 PDT 2009,1.79,237,,
AS419,KB7PUX-1 Gardnerville             NV US,Wed Sep 02 15:02:47 PDT 2009,0.89,10,,
AS436,N7NKE Forest Grove                OR US,Wed Sep 02 15:00:20 PDT 2009,4.02,168,,
AS439,VA7IS N.Vancouver                 BC CA,Wed Sep 02 15:03:53 PDT 2009,0.89,286,,
AS451,SV1LH-1 Melissia                     GR,Wed Sep 02 15:04:47 PDT 2009,0,337,,
AS455,WA7MXZ Logan                      UT US,Wed Sep 02 15:00:59 PDT 2009,0,0,,
AS457,K7PB-1 Surprise                   AZ US,Wed Sep 02 15:01:12 PDT 2009,0,226,,
AS459,KG6PPD-8 Los Altos                CA US,Wed Sep 02 15:00:14 PDT 2009,0.89,15,,
AS460,GM4BES Portpatrick               SCT UK,Wed Sep 02 15:04:27 PDT 2009,7.15,23,,
AS463,KB7CPC Grass Valley               OR US,Wed Sep 02 15:05:12 PDT 2009,4.92,234,,
